Common Name,Scientific Name,Expansion Version,Color,Power Category,Power Text,Predator,Flocking,Bonus Card,Victory Points,Nest Type,Egg Capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild,/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Common Loon,Gavia immer,originalcore,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,,,,6,Ground,1,117,,,X,,,1,,,,1,,,2,,,,,,,0,,,X,0,X,,,X,,X,,,,,,X,
Common Merganser ,Mergus merganser,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,5,Cavity,4,86,,,X,,,1,,,,1,,,2,,,,,,,0,,,,X,X,,,X,X,X,,,,,,X,
Common Moorhen,Gallinula chloropus,european,Brown,Other,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.",,,,3,Wild,6,53,,,X,1,1,1,,,,,,,3,,X,,,X,,0,X,X,X,0,X,,,,X,,,X,,,,X,X
Common Nighthawk ,Chordeiles minor,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Ground,2,56,X,X,X,2,,,,,,,,,2,,,,,X,X,0,,,X,0,,X,,,,,,,,,,,
Common Nightingale,Luscinia megarhynchos,european,Brown,Food-related,Choose a food type. All players gain 1 of that food from the supply.,,,,3,Bowl,4,23,X,X,X,1,1,,1,,,,X,,1,,,,,X,X,0,X,,,0,,,,,,,X,,,,X,,X
Common Raven,Corvus corax,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,,,,5,Platform,2,135,X,X,X,,,,,1,,2,,,3,,,,,,X,0,,X,,0,,,,X,,X,,X,,X,,,
Common Starling,Sturnus vulgaris,european,Teal,Flocking,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,3,Cavity,4,38,,X,X,1,1,,1,,,,X,,1,,,,,X,X,X,X,,,0,,,,,X,,,,,,X,,
Common Swift,Apus apus,european,Teal,Flocking,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,5,Cavity,2,46,,X,,1,,,,,,,,,1,,,,,,,X,,,,0,,X,,,X,,,,X,,,,
Common Yellowthroat ,Geothlypis trichas,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,1,Bowl,4,18,,,X,1,,,,,,,,,1,X,,,X,X,,0,,,,0,,X,,,,,X,,,,,X,X
Cooper's Hawk ,Accipiter cooperii,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Platform,2,79,X,,,,,,,1,,,,,1,,,X,,X,,0,,,,X,,,X,X,,,,X,,X,,,
Corsican Nuthatch,Sitta whiteheadi,european,White,Other,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,,,X,4,Cavity,2,21,X,,,,2,,,,,,,,2,,X,,,,,0,X,,,0,,,X,,X,,X,,,,,,
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,Brown,Egg-laying,Choose 1 other player. You both gain 1 [fruit] from the supply.,,,,7,Bowl,2,22,X,,,1,,,2,,,,,,,,,,,,,0,,X,,0,,,X,,,,X,,,,X,,X
Crested Pigeon,Ocyphaps lophotes,oceania,Yellow,Egg-laying,Cache up to 8 [seed] from your supply on this bird.,,,,3,Platform,4,45,,X,,,1,,,,,,,,,X,,,,X,,0,X,,,0,,,,,,,,X,X,,,,
Crimson Chat,Epthianura tricolor,oceania,Brown,Food-related,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,,X,,4,Bowl,2,19,,X,,1,1,,1,,,,X,,,,,,X,,,X,X,,,0,,,,,,,X,,X,,X,,X
Dark-Eyed Junco,Junco hyemalis,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",,X,,3,Ground,3,23,X,X,,1,1,,,,,,,,2,X,,,,X,X,X,X,,X,0,,,,,,,X,,,,,,
Dickcissel,Spiza americana,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,4,Ground,3,25,,X,,1,2,,,,,,,,3,,,,,,,X,X,X,X,0,,,,,,,X,,X,,,,
Double-Crested Cormorant ,Phalacrocorax auritus,originalcore,Brown,Flocking,Discard [fish] to tuck 2 [card] from the deck behind this bird.,,X,,3,Platform,3,132,,,X,,,1,,,,1,,,2,X,,,,X,,X,,,,0,X,,,X,,X,,X,,,,X,
Downy Woodpecker ,Picoides pubescens,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,3,Cavity,2,30,X,,,1,1,,1,,,,X,,1,,,,,X,,0,X,,,0,,,X,,X,,X,,,,X,,
Dunnock,Prunella modularis,european,Teal,Egg-laying,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",,,,1,Bowl,4,20,X,,,1,1,,,,,,,,2,,,,,X,,0,X,,,0,,,X,,,,X,,,,,,X
Eastern Bluebird,Sialia sialis,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,4,Cavity,5,33,,X,,1,,,1,,,,,,2,,X,,X,,,0,,,,0,,,,,X,,,,X,,X,,
Eastern Imperial Eagle,Aquila heliaca,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,7,Platform,2,200,,X,,,,,,3,,,,X,3,,X,,,,,0,,X,,X,,,,X,,,,X,X,X,,,
Eastern Kingbird,Tyrannus tyrannus,originalcore,Pink,Food from Supply,"When another player plays a [forest] bird, gain 1 [invertebrate] from the supply.",,,,2,Bowl,2,38,X,X,X,1,,,1,,,,X,,1,,X,,,X,X,0,,,,0,,,,,,,,,,,X,,X
Eastern Phoebe ,Sayornis phoebe,originalcore,Brown,Food from Supply,All players gain 1 [invertebrate] from the supply.,,,,3,Wild,4,28,X,X,X,1,,,1,,,,X,,1,,X,,,X,X,0,,,X,0,,,,,X,,X,X,,,X,,X
Eastern Rosella,Platycercus eximius,oceania,Brown,Flocking,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,,,,4,Cavity,3,48,X,X,,,1,,,,2,,,,,,X,,X,,X,0,X,X,,0,,,,,X,,,,,,,,
Eastern Screech Owl ,Megascops asio,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,4,Cavity,2,51,X,,,1,,,,1,,,X,,1,,X,,,,,0,,,,X,,,X,,X,,,,,X,,,
Eastern Whipbird,Psophodes olivaceus,oceania,Brown,Food-related,Choose 1 other player. You both gain 1 [seed] from the supply.,,,,5,Bowl,2,30,X,,,1,1,,,,,,,,,,X,,,,,0,X,,,0,,,X,,,,X,,,,,,X
Eleonora's Falcon,Falco eleonorae,european,Brown,Egg-laying,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.",,,,6,Ground,2,95,,,X,1,,,,1,,,,,2,,,X,,,,0,,,X,0,,,,X,,,,,,X,,X,
Emu,Dromaius novaehollandiae,oceania,Brown,Food-related,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",,,,4,Ground,6,*,X,X,X,1,1,,1,,,,,,,,,,,,X,0,X,X,X,0,,,,X,,,,,,,X,,
Eurasian Collared-Dove,Streptopelia decaocto,european,Teal,Flocking,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,5,Platform,2,52,,X,,,1,,1,,,,,,2,X,X,,,,,X,X,,,0,,,,,,,,X,X,,X,,
Eurasian Golden Oriole,Oriolus oriolus,european,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",,,,4,Wild,2,46,X,X,,1,,,1,,,1,,,3,,X,,X,,X,0,,X,X,0,,,,,X,X,,X,,,X,,X
Eurasian Green Woodpecker,Picus viridis,european,Teal,Other,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",,,,4,Cavity,3,48,X,X,,,1,,1,,,,,,2,,X,,X,,X,0,X,,,0,,,,,X,,,,,,X,,
Eurasian Hobby,Falco subbuteo,european,White,Hunting and fishing,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",X,,,4,Platform,2,75,X,X,X,1,,,,1,,,X,X,1,,X,,,,X,0,,,,X,,,,X,,,,X,,X,,,
Eurasian Jay,Garrulus glandarius,european,Brown,Food-related,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,4,Bowl,3,56,X,,,1,1,,,,,1,,,3,,X,,,,,0,X,X,,0,,,X,,,X,,,,,,,X
Eurasian Magpie,Pica pica,european,Teal,Food-related,"Choose 1 other player. For each action cube in their [grassland], cache 1 [wild] from the supply on any of your birds.",,,,1,Platform,3,56,,X,,1,,,,,,1,,,2,,X,,,X,,0,,,,0,,,,,,X,,X,X,,,,
Eurasian Nutcracker,Nucifraga caryocatactes,european,Brown,Food-related,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,,,,5,Bowl,2,55,X,,,,1,,,,,,,,1,,X,,,,,0,X,,,0,,,X,,,,,,,,,,X
Eurasian Nuthatch,Sitta europaea,european,Brown,Food-related,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",,,,3,Cavity,3,25,X,,,1,1,,,,,,,,2,,X,,,X,,0,X,,,0,,,X,,X,,X,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,4,Platform,2,65,X,,,,,,,1,,,,X,1,,X,,,,,0,,,,X,,,X,,,,,X,,X,,,
Eurasian Tree Sparrow,Passer montanus,european,Pink,Food-related,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.",,,,3,Cavity,4,21,X,X,,1,1,,,,,,,,2,,X,,,X,X,0,X,,,0,,,,,X,,X,,,,,,
European Bee-Eater,Merops apiaster,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.",,,,3,Cavity,3,38,,X,,2,,,,,,,,,2,,X,,,X,,0,,,,0,,X,,,X,,,,X,,,,
European Goldfinch,Carduelis carduelis,european,Pink,Flocking,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.",,X,,6,Bowl,4,23,X,X,,,2,,1,,,,,,3,,X,,X,,X,X,X,X,,0,,,,,,,X,,,,X,,X
European Honey Buzzard,Pernis apivorus,european,Teal,Food-related,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.",,,,4,Platform,1,134,X,,,1,,,,,,1,,,2,,X,,,,,0,,,,0,,,X,X,,X,,X,,,,,
European Robin,Erithacus rubecula,european,Brown,Food-related,"From the supply, gain 1 food of a type you already gained this turn.",,,,4,Bowl,4,22,X,,,1,1,,1,,,,,,3,,X,,,,,0,X,X,,0,,,X,,,,X,,,,X,,X
European Roller,Coracias garrulus,european,White,Other,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.",,,,3,Cavity,2,70,,X,,1,,,,1,,,,,2,,X,,,X,,0,,,,0,,,,X,X,,,,X,X,,,
European Turtle Dove,Streptopelia turtur,european,White,Other,"Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].",,,X,4,Platform,1,51,X,X,X,,2,,,,,,,,2,,X,,,,X,0,X,,,0,,,,,,,,X,,,,,
Ferruginous Hawk ,Buteo regalis,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,6,Platform,2,142,,X,,,,,,2,,,,,2,,,,X,,,0,,,,X,,,,X,,,,X,X,X,,,
Fish Crow,Corvus ossifragus,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,,,,6,Platform,2,91,X,X,X,,,1,,,,1,,,2,,,,,,X,0,,,,0,X,,,X,,X,,X,,,,,
Forster's Tern ,Sterna forsteri,originalcore,Brown,Card-drawing,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,4,Wild,2,79,,,X,1,,1,,,,,X,,1,,,X,,,,0,,,X,0,X,,,X,X,,,X,,,,X,X
Franklin's Gull ,Leucophaeus pipixcan,originalcore,Brown,Card-drawing,Discard 1 [egg] to draw 2 [card].,,,,3,Wild,2,91,,X,X,,,1,,,,1,,,2,,,X,,X,X,0,,,X,0,X,,,X,X,X,,X,,,,,X
Galah,Eolophus roseicapilla,oceania,Brown,Hunting and fishing,"Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.",,X,,5,Cavity,2,75,X,X,,,3,,,,,,,,,,,,,,X,X,X,X,,0,,,,X,X,,,,,,,,
Goldcrest,Regulus regulus,european,Brown,Other,"Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",,,,1,Bowl,6,15,X,,,1,,,,,,,,,1,X,,,X,X,,0,,,,0,,X,X,,,,X,,,,,,X
Golden Eagle,Aquila chrysaetos,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <100cm, tuck it behind this bird. If not, discard it.",X,,,8,Platform,1,201,,X,X,,,,,3,,,,,3,,,,X,,X,0,,X,,X,,,,X,,,,X,,X,,,
Golden-Headed Cisticola,Cisticola exilis,oceania,White,,Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.,,,,1,Wild,3,15,,X,,1,,,,,,,,,,X,,,X,X,,0,,,X,0,,X,,,X,,X,X,X,,,,X
Gould's Finch,Erythrura gouldiae,oceania,Yellow,Flocking,"Play a bird. Pay its normal food and egg cost. If it has a ""when played"" or ""game end"" power, you may use it.",,,,3,Cavity,3,14,X,X,X,,1,,,,,,,,,,,,,X,X,0,X,,,0,,,,,X,,X,,,,,,
Grasshopper Sparrow ,Ammodramus savannarum,originalcore,Brown,Egg-laying,Lay 1 [egg] on any bird.,,,,2,Ground,2,20,,X,,1,1,,,,,,X,,1,,,,,X,,0,X,,X,0,,,,,,,X,,X,,,,
Gray Catbird,Dumetella carolinensis,originalcore,Brown,Other,Repeat a brown power on one other bird in this habitat.,,,,5,Bowl,3,28,X,X,X,1,,,2,,,,,,3,,,,X,,X,0,,X,,0,,,,,,,X,,,,X,,X
Great Blue Heron,Ardea herodias,originalcore,White,Other,Play a second bird in your [wetland]. Pay its normal cost.,,,,5,Platform,2,183,,,X,1,,1,,,,,,,2,,,,X,,,0,,,,0,X,,,X,,,,X,,,,X,
Great Crested Flycatcher ,Myiarchus crinitus,originalcore,Brown,Food from Birdfeeder,"Gain 1 [invertebrate] from the birdfeeder, if there is one.",,,,5,Cavity,3,33,X,,,1,,,1,,,,,,2,X,,,,,,0,,,,0,,,X,,X,,,,,,X,,
Great Crested Grebe,Podiceps cristatus,european,Brown,Card-drawing,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",,,,3,Wild,2,65,,,X,,,2,,,,,,,2,X,,,,X,,0,,,X,0,X,,,,X,,,X,,,,X,X
Great Egret,Ardea alba,originalcore,White,Other,Play a second bird in your [wetland]. Pay its normal cost.,,,,7,Platform,3,130,,,X,,,2,,1,,,,,3,,,,,,,0,,X,,0,X,,,X,,,,X,,X,,X,
Great Horned Owl ,Bubo virginianus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <100cm, tuck it behind this bird. If not, discard it.",X,,,8,Platform,2,112,X,,,,,,,3,,,,,3,,,,,,,0,,X,,X,,,X,X,,,,X,,X,,,
Great Tit,Parus major,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [die] from the birdfeeder after resetting.",,,,4,Cavity,6,24,X,,,1,1,,1,,,,,,3,,,,,,,0,X,X,,0,,,X,,X,,X,,,,X,,
Greater Flamingo,Phoenicopterus roseus,european,Brown,Flocking,"Choose 1 other player. For each action cube on their [wetland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",,X,,3,Ground,1,152,,,X,1,2,,,,,,,,3,,,,,X,,X,X,X,X,0,,,,X,,,,,,,,X,
Greater Prairie Chicken ,Tympanuchus cupido,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Ground,4,71,,X,,1,2,,,,,,,,3,,X,,,,,0,X,X,X,0,,,,X,,,,,X,,,,
Greater Roadrunner ,Geococcyx californianus,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <50cm, tuck it behind this bird. If not, discard it.",X,,,7,Platform,2,56,,X,,1,,,,1,,1,,,3,,,,,,,0,,X,,X,,,,,,X,,X,X,X,,,
Green Heron,Butorides virescens,originalcore,Brown,Food from Supply,Trade 1 [wild] for any other [wild] from the supply.,,,,4,Platform,3,66,,,X,1,,1,,,,,X,,1,,,,X,,,0,,,,0,X,,,X,,,,X,,,,X,
Green Pygmy-Goose,Nettapus pulchellus,oceania,Brown,Food-related,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,,,,4,Cavity,4,54,,,X,,2,,,,,,,,,,,,X,,,0,X,,,0,,,,,X,,,,,,,X,
Grey Butcherbird,Cracticus torquatus,oceania,Brown,Hunting and fishing,"Look at a [card] from the deck. If its wingspan is less than 40cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.",X,,,5,Bowl,2,40,X,X,X,1,,,,1,,1,,,,,,,X,,X,0,,X,,X,,,,,,X,,,,X,,,X
Grey Heron,Ardea cinerea,european,White,Other,"Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost.",,,,3,Platform,2,185,,,X,,,2,,,,,,,2,,,,X,X,,0,,,,0,X,,,X,,,,X,,,,X,
Grey Shrikethrush,Colluricincla harmonica,oceania,Brown,Egg-laying,"Reset the birdfeeder and gain all [rodent], if there are any. You may cache any or all of them on this bird.",X,,,2,Bowl,3,26,X,,,1,,,,,1,,X,,,,,,X,X,,0,,,,X,,X,X,,,,X,,,,,,X
Grey Teal,Anas gracilis,oceania,Brown,Other,"Look at 3 [card] from the deck. Keep 1 [wetland] bird, if there is one. You may add it to your hand or tuck it behind this bird. Discard the other cards.",,X,,2,Ground,5,64,,,X,1,1,,,,,,,,,,,,X,X,,X,X,,X,0,,,,,,,,,,,,X,
Grey Warbler,Gerygone igata,oceania,White,,Play another bird in your [forest]. Pay its normal cost with a 1 [egg] discount.,,,,1,Wild,3,16,X,,,1,1,,1,,,,X,,,,,,X,X,,0,X,,X,0,,,X,,X,,X,X,,,X,,X
Grey-Headed Mannikin,Lonchura caniceps,oceania,Yellow,Hunting and fishing,"Play a bird. Pay its normal food cost, but ignore 1 [egg] in its egg cost. If it has a ""when played"" or ""game end"" power, you may use it.",,,,2,Wild,3,15,,X,,,1,,,,,,,,,X,,,X,X,,0,X,,X,0,,,,,X,,X,X,X,,,,X
Greylag Goose,Anser anser,european,Teal,Other,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",,,,7,Ground,2,164,,,X,,3,,,,,,,,3,,,,X,,,0,X,X,X,0,,,,X,,,,,,,,X,
Griffon Vulture,Gyps fulvus,european,Teal,Food-related,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,,,,1,Platform,1,252,,X,,,,,,,,,,,0,,,,,X,,0,,,,0,,,,X,,,,X,X,,,,
Hawfinch,Coccothraustes coccothraustes,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [seed] from the birdfeeder after resetting.",,,,4,Bowl,2,30,X,,,,2,,,,,,,,2,,,,,,,0,X,,,0,,,X,,,,X,,,,,,X
Hermit Thrush,Catharus guttatus,originalcore,Brown,Food from Birdfeeder,Player(s) with fewest [forest] birds gain 1 [die] from birdfeeder.,,,,7,Wild,2,30,X,,,1,,,2,,,,,,3,,,,,,,0,,X,X,0,,,X,,X,,X,X,,,X,,X
Hooded Crow,Corvus cornix,european,Teal,Flocking,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",,X,,3,Platform,2,99,,X,X,1,,,,,,2,,,3,,,,,X,X,X,,X,,0,,,,X,,X,,X,,,,,
Hooded Merganser,Lophodytes cucullatus,originalcore,Brown,Other,Repeat 1 [predator] power in this habitat.,,,,5,Cavity,4,61,,,X,1,,1,,,,,,,2,,,,,,,0,,,,0,X,,,,X,,,,,,,X,
Hooded Warbler,Setophaga citrina,originalcore,,,,,,,7,Bowl,3,18,X,,,2,,,,,,,,,2,,,,,,,0,,,,0,,X,X,,,,X,,,,,,X
Horned Lark,Eremophila alpestris,originalcore,Pink,Flocking,"When another player plays a [grassland] bird, tuck 1 [card] from your hand behind this bird.",,X,,5,Ground,4,30,,X,,1,1,,,,,,,,2,,,,,,,X,X,,X,0,,,,,,,X,,X,,,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,oceania,Pink,Card-drawing,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a wingspan less than 30cm.",,,,2,,0,29,X,X,X,1,,,,,,,,,,,,,X,X,X,0,,,,0,,X,,,,,X,,,,,,
Horsfield's Bushlark,Mirafra javanica,oceania,Brown,Food-related,"Discard 1 [seed]. If you do, lay up to 2 [egg] on this bird.",,,,2,Ground,2,12,,X,,1,1,,,,,,,,,,,,,X,,0,X,,X,0,,,,,,,X,,X,,,,
House Finch,Haemorhous mexicanus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Bowl,6,25,X,X,X,,1,,1,,,,,,2,,,,,X,X,X,X,,,0,,,,,,,X,,,,X,,X
House Sparrow,Passer domesticus,european,Teal,Flocking,"Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,6,Cavity,5,22,,X,,,1,,1,,,,,,2,,,,,,,X,X,,,0,,,,,X,,X,,X,,X,,
House Wren,Troglodytes aedon,originalcore,White,Other,Play a second bird in your [grassland] or [forest]. Pay its normal cost.,,,,1,Cavity,5,15,X,X,,1,,,,,,,,,1,,,,,X,X,0,,,,0,,X,,,X,,X,,,,,,
Inca Dove,Columbina inca,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [platform] nest.,,,,2,Platform,4,28,,X,,,2,,,,,,,,2,,X,,,X,,0,X,,,0,,,,,,,X,X,X,,,,
Indigo Bunting ,Passerina cyanea,originalcore,Brown,Food from Birdfeeder,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.",,,,5,Bowl,3,20,X,X,,1,1,,1,,,,,,3,,,,X,,X,0,X,X,,0,,,,,,,X,,,,X,,X
Juniper Titmouse ,Baeolophus ridgwayi,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,4,Cavity,3,23,X,,,1,1,,,,,,,,2,,,,,,,0,X,,,0,,,X,,X,,X,,,,,,
Kākāpо̄,Strigops habroptila,oceania,Yellow,Other,"Draw 4 bonus cards, keep 1, and discard the other 3.",,,X,4,Ground,2,*,X,,,,1,,1,,,,,,,,,,,,,0,X,,X,0,,,X,X,,,,,,,X,,
Kea,Nestor notabilis,oceania,White,,Draw 1 bonus card. You may discard any number of [wild] to draw that many additional bonus cards. Keep 1 of the cards you drew and discard the rest.,,,X,5,Ground,2,90,X,X,,,,,1,,1,,,,,,,,,,X,0,,,X,0,,,,X,,,,,,,X,,
Kelp Gull,Larus dominicanus,oceania,Brown,Food-related,Discard any number of [wild] to draw that many [card].,,,,6,Ground,2,135,,,X,,,1,,,,1,,,,,,,,,,0,,,X,0,X,,,X,,X,,,,,,X,
Kererū,Hemiphaga novaeseelandiae,oceania,Brown,Other,"If the player to your left has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.",,,,3,Platform,2,75,X,,,,,,1,,1,,,,,,,,,X,,0,,,,0,,,X,X,,,,X,,,X,,
Killdeer,Charadrius vociferus,originalcore,Brown,Card-drawing,Discard 1 [egg] to draw 2 [card].,,,,1,Ground,3,46,,X,X,1,1,,,,,,X,,1,,,,,X,X,0,X,,X,0,,,,,,,,,,,,,
King Rail,Rallus elegans,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Platform,6,51,,,X,1,,1,,,,1,,,3,,,,,,,0,,X,,0,X,,,,,X,,X,,,,X,
Korimako,Anthornis melanura,oceania,Brown,Flocking,Discard any number of [rodent] to gain that many [nectar] from the supply.,,,,4,Bowl,3,22,X,,,1,,,1,,1,,,,,,,,,,,0,,X,,0,,,X,,,,X,,,,X,,X
Laughing Kookaburra,Dacelo novaeguineae,oceania,Brown,Other,"Reset the birdfeeder. If you do, gain 1 [invertebrate], [fish], or [rodent], if there is one.",X,,,1,Cavity,3,60,X,X,X,1,,1,,1,,,X,,,,,,,X,X,0,,,,X,X,,,,X,,,,,X,,,
Lazuli Bunting ,Passerina amoena,originalcore,Brown,Egg-laying,All players lay 1 [egg] on any 1 [bowl] bird. You may lay 1 [egg] on 1 additional [bowl] bird.,,,,4,Bowl,4,23,,X,,1,1,,1,,,,,,3,,,,X,,,0,X,X,,0,,,,,,,X,,X,,X,,X
Lesser Frigatebird,Fregata ariel,oceania,Brown,Flocking,All players may discard 1 [egg] from a [wetland] bird. Each player that discards an [egg] gains 1 [wild] from the supply.,,,,9,Platform,1,175,,,X,1,,2,,,,,,,,,,,,,,0,,X,,0,X,,,X,,,,X,,,,X,
Lesser Whitethroat,Sylvia curruca,european,Teal,Egg-laying,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,,,,0,Bowl,2,18,X,X,,1,,,1,,,,,,2,X,,,X,X,X,0,,,,0,,,,,,,X,,,,X,,X
Lewin's Honeyeater,Meliphaga lewinii,oceania,Brown,Flocking,Choose 1 other player. you both gain 1 [nectar] from the supply.,,,,5,Bowl,2,29,X,,,,,,1,,1,,,,,,,,,,,0,,,,0,,,X,,,,X,,,,X,,X
Lincoln's Sparrow,Melospiza lincolnii,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Ground,2,20,X,X,X,1,1,,,,,,,,2,,,X,,X,X,0,X,,X,0,,,,,,,X,,,,,,
Little Bustard,Tetrax tetrax,european,White,Other,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,,,X,4,Ground,2,110,,X,,1,1,,,,,,,,2,,,,,,,0,X,,X,0,,,,X,,,,,X,,,,
Little Owl,Athene noctua,european,Brown,Food-related,Steal 1 [rodent] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,4,Cavity,2,56,X,X,,1,,,,1,,,,,2,,,,,,X,0,,,,0,,,,,X,,,,,X,,,
Little Penguin,Eudyptula minor,oceania,Brown,Other,"Draw and discard 5 [card] from the deck. For each [fish] in their food costs, cache 1 [fish] from the supply on this bird.",X,,,7,Wild,2,*,,,X,,,3,,,,,,,,,,,,,,0,,X,X,X,X,,,X,X,,,X,,,,X,X
